Title,Price,Rating,Category,Availability
A Light in the Attic,£51.77,Three,Poetry,In stock (22 available)
Tipping the Velvet,£53.74,One,Historical Fiction,In stock (20 available)
Soumission,£50.10,One,Fiction,In stock (20 available)
Sharp Objects,£47.82,Four,Mystery,In stock (20 available)
Sapiens: A Brief History of Humankind,£54.23,Five,History,In stock (20 available)
The Requiem Red,£22.65,One,Young Adult,In stock (19 available)
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business,In stock (19 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,Three,Default,In stock (19 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,Four,Default,In stock (19 available)
The Black Maria,£52.15,One,Poetry,In stock (19 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,Two,Default,In stock (19 available)
Shakespeare's Sonnets,£20.66,Four,Poetry,In stock (19 available)
Set Me Free,£17.46,Five,Young Adult,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,Five,Sequential Art,In stock (19 available)
Rip it Up and Start Again,£35.02,Five,Music,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,Music,In stock (19 available)
Olio,£23.88,One,Poetry,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,One,Science Fiction,In stock (19 available)
Libertarianism for Beginners,£51.33,Two,Politics,In stock (19 available)
It's Only the Himalayas,£45.17,Two,Travel,In stock (19 available)
In Her Wake,£12.84,One,Thriller,In stock (19 available)
How Music Works,£37.32,Two,Music,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink,In stock (19 available)
Chase Me (Paris Nights #2),£25.27,Five,Romance,In stock (19 available)
Black Dust,£34.53,Five,Romance,In stock (19 available)
Birdsong: A Story in Pictures,£54.64,Three,Childrens,In stock (19 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,Three,Default,In stock (19 available)
Aladdin and His Wonderful Lamp,£53.13,Three,Default,In stock (19 available)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,Five,Nonfiction,In stock (18 available)
Wall and Piece,£44.18,Four,Art,In stock (18 available)
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,Spirituality,In stock (18 available)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,Nonfiction,In stock (18 available)
The Elephant Tree,£23.82,Five,Thriller,In stock (18 available)
The Bear and the Piano,£36.89,One,Childrens,In stock (18 available)
Sophie's World,£15.94,Five,Philosophy,In stock (18 available)
Penny Maybe,£33.29,Three,Default,In stock (18 available)
Maude (1883-1993):She Grew Up with the country,£18.02,Two,Default,In stock (18 available)
"In a Dark, Dark Wood",£19.63,One,Mystery,In stock (18 available)
Behind Closed Doors,£52.22,Four,Thriller,In stock (18 available)
You can't bury them all: Poems,£33.63,Two,Poetry,In stock (17 available)
Slow States of Collapse: Poems,£57.31,Three,Poetry,In stock (17 available)
Reasons to Stay Alive,£26.41,Two,Nonfiction,In stock (17 available)
Private Paris (Private #10),£47.61,Five,Fiction,In stock (17 available)
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,Nonfiction,In stock (17 available)
Without Borders (Wanderlove #1),£45.07,Two,New Adult,In stock (16 available)
When We Collided,£31.77,One,Contemporary,In stock (16 available)
"We Love You, Charlie Freeman",£50.27,Five,Fiction,In stock (16 available)
Untitled Collection: Sabbath Poems 2014,£14.27,Four,Poetry,In stock (16 available)
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,Nonfiction,In stock (16 available)
Unicorn Tracks,£18.78,Three,Fantasy,In stock (16 available)
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,One,History,In stock (16 available)
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,One,Sequential Art,In stock (16 available)
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,Nonfiction,In stock (16 available)
This One Summer,£19.49,Four,Sequential Art,In stock (16 available)
Thirst,£17.27,Five,Fiction,In stock (16 available)
The Torch Is Passed: A Harding Family Story,£19.09,One,Add a comment,In stock (16 available)
The Secret of Dreadwillow Carse,£56.13,One,Childrens,In stock (16 available)
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,Food and Drink,In stock (16 available)
The Past Never Ends,£56.50,Four,Mystery,In stock (16 available)
The Natural History of Us (The Fine Art of Pretending #2),£45.22,Three,Young Adult,In stock (16 available)
The Nameless City (The Nameless City #1),£38.16,Four,Sequential Art,In stock (16 available)
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,Fiction,In stock (16 available)
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,Four,Science,In stock (16 available)
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,Four,Add a comment,In stock (16 available)
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,Nonfiction,In stock (16 available)
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,Five,Default,In stock (16 available)
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,Nonfiction,In stock (16 available)
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,Nonfiction,In stock (16 available)
The Death of Humanity: and the Case for Life,£58.11,Four,Philosophy,In stock (16 available)
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,Health,In stock (16 available)
The Art Forger,£40.76,Three,Add a comment,In stock (16 available)
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,History,In stock (16 available)
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,Spirituality,In stock (16 available)
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,Nonfiction,In stock (16 available)
Soul Reader,£39.58,Two,Default,In stock (16 available)
Security,£39.25,Two,Horror,In stock (16 available)
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,Fantasy,In stock (16 available)
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,Two,Sequential Art,In stock (16 available)
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,Nonfiction,In stock (16 available)
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,Three,Sequential Art,In stock (16 available)
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,Five,Sequential Art,In stock (16 available)
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,Fantasy,In stock (16 available)
"Pop Gun War, Volume 1: Gift",£18.97,One,Sequential Art,In stock (16 available)
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,History,In stock (16 available)
Patience,£10.16,Three,Sequential Art,In stock (16 available)
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,Four,Sequential Art,In stock (16 available)
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,One,Sequential Art,In stock (16 available)
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,Self Help,In stock (16 available)
On a Midnight Clear,£14.07,Three,Add a comment,In stock (16 available)
Obsidian (Lux #1),£14.86,Two,Young Adult,In stock (16 available)
My Paris Kitchen: Recipes and Stories,£33.37,Two,Food and Drink,In stock (16 available)
Masks and Shadows,£56.40,Two,Fantasy,In stock (16 available)
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,Food and Drink,In stock (16 available)
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,Two,Sequential Art,In stock (16 available)
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,Three,Sequential Art,In stock (16 available)
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,Two,Sequential Art,In stock (16 available)
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,Food and Drink,In stock (16 available)
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,Two,Add a comment,In stock (16 available)
Join,£35.67,Five,Science Fiction,In stock (16 available)
In the Country We Love: My Family Divided,£22.00,Four,Nonfiction,In stock (16 available)
